0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.35,0.8,0.8,0.57,0.66,0.39,0.66,0.61,0.36,0.33,0.95,0.87,0.38,0.22,0.27,0.58,0.59,0.44,0.33,0.5,0.41,0.29,0.52,0.4,0.45,0.33,0.33,0.45,0.66,0.5,0.58,0.7,0.56,0.56,0.45,0.75,0.78,0.66,0.62,0.52,0.7,0.53,0.25,0.53,0.26,0.49,0.39,0.74,0.5
0.27,0.0,0.67,0.61,0.4,0.44,0.19,0.45,0.21,0.46,0.19,0.42,0.64,0.15,0.2,0.2,0.52,0.49,0.19,0.61,0.16,0.41,0.25,0.43,0.21,0.23,0.2,0.2,0.37,0.25,0.27,0.6,0.35,0.29,0.28,0.52,0.37,0.45,0.4,0.45,0.36,0.36,0.39,0.2,0.73,0.28,0.28,0.35,0.36,0.21
0.17,0.21,0.0,0.42,0.14,0.17,0.19,0.26,0.25,0.14,0.23,0.3,0.51,0.12,0.1,0.15,0.35,0.17,0.11,0.21,0.18,0.18,0.14,0.21,0.16,0.17,0.08,0.29,0.2,0.33,0.17,0.19,0.28,0.21,0.25,0.24,0.47,0.45,0.14,0.43,0.15,0.39,0.32,0.36,0.49,0.25,0.51,0.33,0.19,0.18
0.2,0.38,0.58,0.0,0.17,0.23,0.09,0.31,0.32,0.14,0.23,0.64,0.34,0.05,0.07,0.12,0.39,0.38,0.08,0.2,0.08,0.28,0.16,0.22,0.12,0.07,0.12,0.1,0.32,0.3,0.24,0.18,0.37,0.38,0.25,0.47,0.2,0.39,0.1,0.33,0.06,0.41,0.27,0.22,0.21,0.15,0.24,0.53,0.25,0.29
0.24,0.23,0.53,0.28,0.0,0.31,0.23,0.33,0.2,0.48,0.23,0.55,0.58,0.22,0.26,0.17,0.21,0.27,0.19,0.34,0.22,0.47,0.21,0.49,0.24,0.45,0.23,0.45,0.42,0.37,0.28,0.32,0.24,0.59,0.26,0.27,0.61,0.54,0.24,0.29,0.23,0.39,0.27,0.17,0.71,0.26,0.5,0.3,0.32,0.5
0.16,0.42,0.65,0.4,0.31,0.0,0.43,0.46,0.33,0.48,0.39,0.48,0.74,0.25,0.33,0.16,0.39,0.29,0.24,0.53,0.34,0.48,0.42,0.5,0.28,0.48,0.21,0.26,0.3,0.49,0.39,0.6,0.4,0.31,0.22,0.28,0.53,0.62,0.24,0.44,0.23,0.26,0.63,0.49,0.62,0.2,0.47,0.36,0.24,0.32
0.2,0.41,0.36,0.79,0.23,0.57,0.0,0.32,0.47,0.56,0.47,0.87,0.8,0.2,0.46,0.42,0.38,0.29,0.21,0.31,0.26,0.13,0.29,0.51,0.49,0.38,0.23,0.28,0.26,0.29,0.45,0.35,0.31,0.45,0.32,0.37,0.34,0.29,0.4,0.39,0.26,0.44,0.86,0.37,0.41,0.29,0.48,0.37,0.31,0.33
0.27,0.55,0.58,0.39,0.3,0.24,0.16,0.0,0.4,0.56,0.23,0.72,0.65,0.27,0.17,0.28,0.34,0.21,0.1,0.3,0.18,0.34,0.5,0.41,0.23,0.41,0.17,0.27,0.55,0.4,0.22,0.41,0.31,0.63,0.2,0.53,0.62,0.7,0.24,0.58,0.24,0.6,0.22,0.11,0.43,0.25,0.37,0.24,0.58,0.23
0.37,0.4,0.37,0.66,0.32,0.38,0.52,0.56,0.0,0.18,0.56,0.55,0.71,0.27,0.25,0.15,0.57,0.36,0.24,0.66,0.39,0.28,0.53,0.49,0.25,0.27,0.27,0.24,0.57,0.36,0.28,0.46,0.57,0.46,0.4,0.57,0.46,0.39,0.24,0.28,0.31,0.24,0.54,0.31,0.3,0.33,0.46,0.45,0.71,0.5
0.21,0.54,0.51,0.64,0.26,0.51,0.21,0.36,0.28,0.0,0.43,0.47,0.71,0.18,0.28,0.35,0.32,0.47,0.39,0.32,0.34,0.35,0.26,0.31,0.23,0.23,0.36,0.41,0.27,0.42,0.23,0.48,0.41,0.64,0.17,0.47,0.28,0.38,0.46,0.33,0.43,0.76,0.59,0.43,0.43,0.26,0.68,0.38,0.34,0.57
